Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
SSO,s s o
QA,q a
AWS,a w s
y'all,yall
Jira,gera
env
SFTP,s f t p
yep
yeah
EBA,e b a
MMC,m m c
Sentry
org
orgs
chord,cord
chords,cords
add,ad
adds,ads
util
errored,air word
null
sql,sequel
CircleCI,circle c i
